PING 192.168.1.3 (192.168.1.3) 56(84) bytes of data.
64 bytes from 192.168.1.3: icmp_req=117 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=118 ttl=64 time=3.64 ms
64 bytes from 192.168.1.3: icmp_req=119 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=120 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=121 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=122 ttl=64 time=5.75 ms
64 bytes from 192.168.1.3: icmp_req=123 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=124 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=125 ttl=64 time=3.66 ms
64 bytes from 192.168.1.3: icmp_req=126 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=127 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=128 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=129 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=130 ttl=64 time=4.61 ms
64 bytes from 192.168.1.3: icmp_req=131 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=132 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=133 ttl=64 time=4.79 ms
64 bytes from 192.168.1.3: icmp_req=134 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=135 ttl=64 time=3.59 ms
64 bytes from 192.168.1.3: icmp_req=136 ttl=64 time=9.18 ms
64 bytes from 192.168.1.3: icmp_req=137 ttl=64 time=3.73 ms
64 bytes from 192.168.1.3: icmp_req=138 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=139 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=140 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=141 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=142 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=143 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=144 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=145 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=146 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=147 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=148 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=149 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=150 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=151 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=152 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=153 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=154 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=155 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=156 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=157 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=158 ttl=64 time=4.95 ms
