1417791069.712940 2014-12-05 15:51:09.712
# symbols: index r/w length name
1 t 1 timestamp
2 r 1 tick
3 r 1 rhdlogging
1417791742.132 33572 1 1 
1417791742.152 33573 1 1 
1417791742.172 33574 1 1 
1417791742.192 33575 1 1 
1417791742.212 33576 1 1 
1417791742.232 33577 1 1 
1417791742.252 33578 1 1 
1417791742.272 33579 1 1 
1417791742.292 33580 1 1 
1417791742.312 33581 1 1 
1417791742.332 33582 1 1 
1417791742.352 33583 1 1 
1417791742.372 33584 1 1 
1417791742.392 33585 1 1 
1417791742.412 33586 1 1 
1417791742.432 33587 1 1 
1417791742.452 33588 1 1 
1417791742.472 33589 1 1 
1417791742.492 33590 1 1 
1417791742.512 33591 1 1 
1417791742.532 33592 1 1 
1417791742.552 33593 1 1 
1417791742.572 33594 1 1 
1417791742.592 33595 1 1 
1417791742.612 33596 1 1 
1417791742.632 33597 1 1 
1417791742.652 33598 1 1 
1417791742.672 33599 1 1 
1417791742.692 33600 1 1 
1417791742.712 33601 1 1 
1417791742.732 33602 1 1 
1417791742.752 33603 1 1 
1417791742.772 33604 1 1 
1417791742.792 33605 1 1 
1417791742.812 33606 1 1 
1417791742.832 33607 1 1 
1417791742.852 33608 1 1 
1417791742.872 33609 1 1 
1417791742.892 33610 1 1 
1417791742.912 33611 1 1 
1417791742.932 33612 1 1 
1417791742.952 33613 1 1 
1417791742.972 33614 1 1 
1417791742.992 33615 1 1 
1417791743.012 33616 1 1 
1417791743.032 33617 1 1 
1417791743.052 33618 1 1 
1417791743.072 33619 1 1 
1417791743.092 33620 1 1 
1417791743.112 33621 1 1 
1417791743.132 33622 1 1 
1417791743.152 33623 1 1 
1417791743.172 33624 1 1 
1417791743.192 33625 1 1 
1417791743.212 33626 1 1 
1417791743.232 33627 1 1 
1417791743.252 33628 1 1 
1417791743.272 33629 1 1 
1417791743.292 33630 1 1 
1417791743.312 33631 1 1 
1417791743.332 33632 1 1 
1417791743.352 33633 1 1 
1417791743.372 33634 1 1 
1417791743.392 33635 1 1 
1417791743.412 33636 1 1 
1417791743.432 33637 1 1 
1417791743.452 33638 1 1 
1417791743.472 33639 1 1 
1417791743.492 33640 1 1 
1417791743.512 33641 1 1 
1417791743.532 33642 1 1 
1417791743.552 33643 1 1 
1417791743.572 33644 1 1 
1417791743.592 33645 1 1 
1417791743.612 33646 1 1 
1417791743.632 33647 1 1 
1417791743.652 33648 1 1 
1417791743.672 33649 1 1 
1417791743.692 33650 1 1 
1417791743.712 33651 1 1 
1417791743.732 33652 1 1 
1417791743.752 33653 1 1 
1417791743.772 33654 1 1 
1417791743.792 33655 1 1 
1417791743.812 33656 1 1 
1417791743.832 33657 1 1 
1417791743.852 33658 1 1 
1417791743.872 33659 1 1 
1417791743.892 33660 1 1 
1417791743.912 33661 1 1 
1417791743.932 33662 1 1 
1417791743.952 33663 1 1 
1417791743.972 33664 1 1 
1417791743.992 33665 1 1 
1417791744.012 33666 1 1 
1417791744.032 33667 1 1 
1417791744.052 33668 1 1 
1417791744.072 33669 1 1 
1417791744.092 33670 1 1 
1417791744.112 33671 1 1 
1417791744.132 33672 1 1 
1417791744.152 33673 1 1 
1417791744.172 33674 1 1 
1417791744.192 33675 1 1 
1417791744.212 33676 1 1 
1417791744.232 33677 1 1 
1417791744.252 33678 1 1 
1417791744.272 33679 1 1 
1417791744.292 33680 1 1 
1417791744.312 33681 1 1 
1417791744.332 33682 1 1 
1417791744.352 33683 1 1 
1417791744.372 33684 1 1 
1417791744.392 33685 1 1 
1417791744.412 33686 1 1 
1417791744.432 33687 1 1 
1417791744.452 33688 1 1 
1417791744.472 33689 1 1 
1417791744.492 33690 1 1 
1417791744.512 33691 1 1 
1417791744.532 33692 1 1 
1417791744.552 33693 1 1 
1417791744.572 33694 1 1 
1417791744.592 33695 1 1 
1417791744.612 33696 1 1 
1417791744.632 33697 1 1 
1417791744.652 33698 1 1 
1417791744.672 33699 1 1 
1417791744.692 33700 1 1 
1417791744.712 33701 1 1 
1417791744.732 33702 1 1 
1417791744.752 33703 1 1 
1417791744.772 33704 1 1 
1417791744.792 33705 1 1 
1417791744.812 33706 1 1 
1417791744.832 33707 1 1 
1417791744.852 33708 1 1 
1417791744.872 33709 1 1 
1417791744.892 33710 1 1 
1417791744.912 33711 1 1 
1417791744.932 33712 1 1 
1417791744.952 33713 1 1 
1417791744.972 33714 1 1 
1417791744.992 33715 1 1 
1417791745.012 33716 1 1 
1417791745.032 33717 1 1 
1417791745.052 33718 1 1 
1417791745.072 33719 1 1 
1417791745.092 33720 1 1 
1417791745.112 33721 1 1 
1417791745.132 33722 1 1 
1417791745.152 33723 1 1 
1417791745.172 33724 1 1 
1417791745.192 33725 1 1 
1417791745.212 33726 1 1 
1417791745.232 33727 1 1 
1417791745.252 33728 1 1 
1417791745.272 33729 1 1 
1417791745.292 33730 1 1 
1417791745.312 33731 1 1 
1417791745.332 33732 1 1 
1417791745.352 33733 1 1 
1417791745.372 33734 1 1 
1417791745.392 33735 1 1 
1417791745.412 33736 1 1 
1417791745.432 33737 1 1 
1417791745.452 33738 1 1 
1417791745.472 33739 1 1 
1417791745.492 33740 1 1 
1417791745.512 33741 1 1 
1417791745.532 33742 1 1 
1417791745.552 33743 1 1 
1417791745.572 33744 1 1 
1417791745.592 33745 1 1 
1417791745.612 33746 1 1 
1417791745.632 33747 1 1 
1417791745.652 33748 1 1 
1417791745.672 33749 1 1 
1417791745.692 33750 1 1 
1417791745.712 33751 1 1 
1417791745.732 33752 1 1 
1417791745.752 33753 1 1 
1417791745.772 33754 1 1 
1417791745.792 33755 1 1 
1417791745.812 33756 1 1 
1417791745.832 33757 1 1 
1417791745.852 33758 1 1 
1417791745.872 33759 1 1 
1417791745.892 33760 1 1 
1417791745.912 33761 1 1 
1417791745.932 33762 1 1 
1417791745.952 33763 1 1 
1417791745.972 33764 1 1 
1417791745.992 33765 1 1 
1417791746.012 33766 1 1 
1417791746.032 33767 1 1 
1417791746.052 33768 1 1 
1417791746.072 33769 1 1 
1417791746.092 33770 1 1 
1417791746.112 33771 1 1 
1417791746.132 33772 1 1 
1417791746.152 33773 1 1 
1417791746.172 33774 1 1 
1417791746.192 33775 1 1 
1417791746.212 33776 1 1 
1417791746.232 33777 1 1 
1417791746.252 33778 1 1 
1417791746.272 33779 1 1 
1417791746.292 33780 1 1 
1417791746.312 33781 1 1 
1417791746.332 33782 1 1 
1417791746.352 33783 1 1 
1417791746.372 33784 1 1 
1417791746.392 33785 1 1 
1417791746.412 33786 1 1 
1417791746.432 33787 1 1 
1417791746.452 33788 1 1 
1417791746.472 33789 1 1 
1417791746.492 33790 1 1 
1417791746.512 33791 1 1 
1417791746.532 33792 1 1 
1417791746.552 33793 1 1 
1417791746.572 33794 1 1 
1417791746.592 33795 1 1 
1417791746.612 33796 1 1 
1417791746.632 33797 1 1 
1417791746.652 33798 1 1 
1417791746.672 33799 1 1 
1417791746.692 33800 1 1 
1417791746.712 33801 1 1 
1417791746.732 33802 1 1 
1417791746.752 33803 1 1 
1417791746.772 33804 1 1 
1417791746.792 33805 1 1 
1417791746.812 33806 1 1 
1417791746.832 33807 1 1 
1417791746.852 33808 1 1 
1417791746.872 33809 1 1 
1417791746.892 33810 1 1 
1417791746.912 33811 1 1 
1417791746.932 33812 1 1 
1417791746.952 33813 1 1 
1417791746.972 33814 1 1 
1417791746.992 33815 1 1 
1417791747.012 33816 1 1 
1417791747.032 33817 1 1 
1417791747.052 33818 1 1 
1417791747.072 33819 1 1 
1417791747.092 33820 1 1 
1417791747.112 33821 1 1 
1417791747.132 33822 1 1 
1417791747.152 33823 1 1 
1417791747.172 33824 1 1 
1417791747.192 33825 1 1 
1417791747.212 33826 1 1 
1417791747.232 33827 1 1 
1417791747.252 33828 1 1 
1417791747.272 33829 1 1 
1417791747.292 33830 1 1 
1417791747.312 33831 1 1 
1417791747.332 33832 1 1 
1417791747.352 33833 1 1 
1417791747.372 33834 1 1 
1417791747.392 33835 1 1 
1417791747.412 33836 1 1 
1417791747.432 33837 1 1 
1417791747.452 33838 1 1 
1417791747.472 33839 1 1 
1417791747.492 33840 1 1 
1417791747.512 33841 1 1 
1417791747.532 33842 1 1 
1417791747.552 33843 1 1 
1417791747.572 33844 1 1 
1417791747.592 33845 1 1 
1417791747.612 33846 1 1 
1417791747.632 33847 1 1 
1417791747.652 33848 1 1 
1417791747.672 33849 1 1 
1417791747.692 33850 1 1 
1417791747.712 33851 1 1 
1417791747.732 33852 1 1 
1417791747.752 33853 1 1 
1417791747.772 33854 1 1 
1417791747.792 33855 1 1 
1417791747.812 33856 1 1 
1417791747.832 33857 1 1 
1417791747.852 33858 1 1 
1417791747.872 33859 1 1 
1417791747.892 33860 1 1 
1417791747.912 33861 1 1 
1417791747.932 33862 1 1 
1417791747.952 33863 1 1 
1417791747.972 33864 1 1 
1417791747.992 33865 1 1 
1417791748.012 33866 1 1 
1417791748.032 33867 1 1 
1417791748.052 33868 1 1 
1417791748.072 33869 1 1 
1417791748.092 33870 1 1 
1417791748.112 33871 1 1 
1417791748.132 33872 1 1 
1417791748.152 33873 1 1 
1417791748.172 33874 1 1 
1417791748.192 33875 1 1 
1417791748.212 33876 1 1 
1417791748.232 33877 1 1 
1417791748.252 33878 1 1 
1417791748.272 33879 1 1 
1417791748.292 33880 1 1 
1417791748.312 33881 1 1 
1417791748.332 33882 1 1 
1417791748.352 33883 1 1 
1417791748.372 33884 1 1 
1417791748.392 33885 1 1 
1417791748.412 33886 1 1 
1417791748.432 33887 1 1 
1417791748.452 33888 1 1 
1417791748.472 33889 1 1 
1417791748.492 33890 1 1 
1417791748.512 33891 1 1 
1417791748.532 33892 1 1 
1417791748.552 33893 1 1 
1417791748.572 33894 1 1 
1417791748.592 33895 1 1 
1417791748.612 33896 1 1 
1417791748.632 33897 1 1 
1417791748.652 33898 1 1 
1417791748.672 33899 1 1 
1417791748.692 33900 1 1 
1417791748.712 33901 1 1 
1417791748.732 33902 1 1 
1417791748.752 33903 1 1 
1417791748.772 33904 1 1 
1417791748.792 33905 1 1 
1417791748.812 33906 1 1 
1417791748.832 33907 1 1 
1417791748.852 33908 1 1 
1417791748.872 33909 1 1 
1417791748.892 33910 1 1 
1417791748.912 33911 1 1 
1417791748.932 33912 1 1 
1417791748.952 33913 1 1 
1417791748.972 33914 1 1 
1417791748.992 33915 1 1 
1417791749.012 33916 1 1 
1417791749.032 33917 1 1 
1417791749.052 33918 1 1 
1417791749.072 33919 1 1 
1417791749.092 33920 1 1 
1417791749.112 33921 1 1 
1417791749.132 33922 1 1 
1417791749.152 33923 1 1 
1417791749.172 33924 1 1 
1417791749.192 33925 1 1 
1417791749.212 33926 1 1 
1417791749.232 33927 1 1 
1417791749.252 33928 1 1 
1417791749.272 33929 1 1 
1417791749.292 33930 1 1 
1417791749.312 33931 1 1 
1417791749.332 33932 1 1 
1417791749.352 33933 1 1 
1417791749.372 33934 1 1 
1417791749.392 33935 1 1 
1417791749.412 33936 1 1 
1417791749.432 33937 1 1 
1417791749.452 33938 1 1 
1417791749.472 33939 1 1 
1417791749.492 33940 1 1 
1417791749.512 33941 1 1 
1417791749.532 33942 1 1 
1417791749.552 33943 1 1 
1417791749.572 33944 1 1 
1417791749.592 33945 1 1 
1417791749.612 33946 1 1 
1417791749.632 33947 1 1 
1417791749.652 33948 1 1 
1417791749.672 33949 1 1 
1417791749.692 33950 1 1 
1417791749.712 33951 1 1 
1417791749.732 33952 1 1 
1417791749.752 33953 1 1 
1417791749.772 33954 1 1 
1417791749.792 33955 1 1 
1417791749.812 33956 1 1 
1417791749.832 33957 1 1 
1417791749.852 33958 1 1 
1417791749.872 33959 1 1 
1417791749.892 33960 1 1 
1417791749.912 33961 1 1 
1417791749.932 33962 1 1 
1417791749.952 33963 1 1 
1417791749.972 33964 1 1 
1417791749.992 33965 1 1 
1417791750.012 33966 1 1 
1417791750.032 33967 1 1 
1417791750.052 33968 1 1 
1417791750.072 33969 1 1 
1417791750.092 33970 1 1 
1417791750.112 33971 1 1 
1417791750.132 33972 1 1 
1417791750.152 33973 1 1 
1417791750.172 33974 1 1 
1417791750.192 33975 1 1 
1417791750.212 33976 1 1 
1417791750.232 33977 1 1 
1417791750.252 33978 1 1 
1417791750.272 33979 1 1 
1417791750.292 33980 1 1 
1417791750.312 33981 1 1 
1417791750.332 33982 1 1 
1417791750.352 33983 1 1 
1417791750.372 33984 1 1 
1417791750.392 33985 1 1 
1417791750.412 33986 1 1 
1417791750.432 33987 1 1 
1417791750.452 33988 1 1 
1417791750.472 33989 1 1 
1417791750.492 33990 1 1 
1417791750.512 33991 1 1 
1417791750.532 33992 1 1 
1417791750.552 33993 1 1 
1417791750.572 33994 1 1 
1417791750.592 33995 1 1 
1417791750.612 33996 1 1 
1417791750.632 33997 1 1 
1417791750.652 33998 1 1 
1417791750.672 33999 1 1 
1417791750.692 34000 1 1 
1417791750.712 34001 1 1 
1417791750.732 34002 1 1 
1417791750.752 34003 1 1 
1417791750.772 34004 1 1 
1417791750.792 34005 1 1 
1417791750.812 34006 1 1 
1417791750.832 34007 1 1 
1417791750.852 34008 1 1 
1417791750.872 34009 1 1 
1417791750.892 34010 1 1 
1417791750.912 34011 1 1 
1417791750.932 34012 1 1 
